Age,Attrition,Department,EmployeeNumber,Gender,JobRole,YearsAtCompany,MonthlyIncome,PerformanceRating
22.0, no ,RESEARCH & DEVELOPMENT,1019.0,MALE,LABORATORY TECHNICIAN,,2451.0,3.0
56.0,NO, nan ,762.0, male ,HEALTHCARE REPRESENTATIVE,10.0,11103.0,3.0
34.0,NO,RESEARCH & DEVELOPMENT,775.0,FEMALE,MANUFACTURING DIRECTOR,0.0,,3.0
24.0, no , research & development ,1009.0,FEMALE, manufacturing director ,4.0,,3.0
26.0, nan ,RESEARCH & DEVELOPMENT,686.0,FEMALE,NAN,3.0,2659.0,3.0
37.0,NO,SALES,904.0,MALE, nan ,10.0,7642.0,3.0
36.0, nan , sales ,2045.0,FEMALE,SALES EXECUTIVE,6.0,6652.0,3.0
, no ,SALES,1190.0,FEMALE, sales representative ,1.0,2827.0,3.0
58.0, no , sales ,1938.0, female , manager ,1.0,17875.0,3.0
40.0,NO,SALES,453.0, male , sales executive ,4.0,7457.0,4.0
,NO, research & development ,421.0, female , nan ,10.0,12061.0,3.0
,YES,RESEARCH & DEVELOPMENT,58.0,FEMALE, research director ,,,3.0
45.0, no ,RESEARCH & DEVELOPMENT,1306.0, female , manager ,,18061.0,4.0
28.0,YES,RESEARCH & DEVELOPMENT,65.0, male ,LABORATORY TECHNICIAN,,3441.0,
40.0,NO,NAN,729.0,MALE, sales executive ,18.0,10475.0,4.0
42.0,NO,RESEARCH & DEVELOPMENT,351.0, female , nan ,9.0,2593.0,3.0
26.0, no ,SALES,,MALE, sales executive ,7.0,4294.0,
36.0,NO,RESEARCH & DEVELOPMENT,1594.0, male , laboratory technician ,3.0,,
40.0,NO, research & development ,2012.0,MALE, laboratory technician ,1.0,2406.0,3.0
45.0, no , research & development ,336.0,MALE,NAN,24.0,19202.0,3.0
29.0,NO, research & development ,912.0,FEMALE, laboratory technician ,4.0,2532.0,
35.0, no , research & development ,, female ,HEALTHCARE REPRESENTATIVE,14.0,4148.0,3.0
,NO, research & development ,1363.0, male , manufacturing director ,10.0,,3.0
, no ,SALES,879.0, male ,SALES EXECUTIVE,5.0,4194.0,3.0
36.0, no , sales ,1556.0,MALE, sales representative ,3.0,2644.0,
,NO,RESEARCH & DEVELOPMENT,1484.0,MALE, healthcare representative ,8.0,10466.0,3.0
58.0, no ,RESEARCH & DEVELOPMENT,1423.0,FEMALE, research director ,,19701.0,4.0
,NO,RESEARCH & DEVELOPMENT,1238.0,MALE,RESEARCH SCIENTIST,14.0,2781.0,3.0
24.0, no ,RESEARCH & DEVELOPMENT,888.0,NAN,LABORATORY TECHNICIAN,5.0,3162.0,3.0
32.0, no , sales ,1446.0, male ,SALES EXECUTIVE,4.0,9204.0,3.0
52.0, yes , sales ,, female , manager ,32.0,19845.0,3.0
35.0,NO,RESEARCH & DEVELOPMENT,652.0, male ,LABORATORY TECHNICIAN,,,3.0
,YES, sales ,1733.0, male , sales executive ,2.0,6134.0,3.0
30.0,NAN,RESEARCH & DEVELOPMENT,11.0, nan , laboratory technician ,,2693.0,4.0
28.0, no , research & development ,,MALE,HEALTHCARE REPRESENTATIVE,8.0,5661.0,3.0
48.0, no , research & development ,1644.0, nan , manager ,2.0,15202.0,4.0
31.0, no , research & development ,367.0,NAN,NAN,9.0,5582.0,4.0
41.0, nan ,RESEARCH & DEVELOPMENT,1448.0, male , research scientist ,4.0,2127.0,
40.0,YES, sales ,,MALE,SALES EXECUTIVE,5.0,9094.0,3.0
47.0, no , nan ,746.0, female ,NAN,22.0,13770.0,3.0
29.0, no , research & development ,710.0,MALE, research scientist ,10.0,2720.0,3.0
, nan ,RESEARCH & DEVELOPMENT,1666.0,NAN,RESEARCH DIRECTOR,,17603.0,4.0
38.0,NO,RESEARCH & DEVELOPMENT,1782.0,FEMALE, laboratory technician ,5.0,3702.0,3.0
40.0, no , sales ,516.0,FEMALE,SALES EXECUTIVE,5.0,5715.0,3.0
48.0, no ,RESEARCH & DEVELOPMENT,1867.0, nan ,RESEARCH DIRECTOR,22.0,19665.0,3.0
36.0,YES, research & development ,1042.0, female ,LABORATORY TECHNICIAN,17.0,2743.0,3.0
35.0,NO, research & development ,75.0, female , laboratory technician ,2.0,4014.0,3.0
34.0, no ,NAN,1535.0, male ,NAN,10.0,7083.0,3.0
41.0, yes , sales ,1.0, female ,SALES EXECUTIVE,6.0,5993.0,3.0
34.0,NO,RESEARCH & DEVELOPMENT,1103.0, male , healthcare representative ,6.0,7756.0,3.0
26.0, yes , sales ,401.0, male , sales executive ,8.0,5828.0,3.0
39.0, no , sales ,, male , sales executive ,7.0,8237.0,3.0
27.0, no ,NAN,1434.0,MALE,LABORATORY TECHNICIAN,5.0,2099.0,3.0
47.0, no ,RESEARCH & DEVELOPMENT,987.0,MALE,MANUFACTURING DIRECTOR,19.0,5067.0,3.0
52.0, no ,NAN,630.0,MALE, research scientist ,10.0,5577.0,3.0
, no ,SALES,160.0, nan ,SALES EXECUTIVE,7.0,6146.0,3.0
48.0, no , sales ,473.0, female , manager ,0.0,12504.0,4.0
31.0,NO,HUMAN RESOURCES,1461.0, nan ,HUMAN RESOURCES,,2109.0,3.0
39.0, no , sales ,1929.0,FEMALE, sales executive ,3.0,5736.0,3.0
29.0, yes , research & development ,300.0, male ,RESEARCH SCIENTIST,6.0,2058.0,3.0
34.0,YES,RESEARCH & DEVELOPMENT,1905.0, male ,RESEARCH SCIENTIST,5.0,2307.0,4.0
38.0, nan , sales ,1036.0, male , sales executive ,1.0,6861.0,3.0
37.0,YES, research & development ,4.0,MALE,NAN,0.0,2090.0,3.0
28.0,NO, research & development ,1301.0,MALE, nan ,3.0,2080.0,3.0
28.0,NO,SALES,1507.0,MALE,SALES EXECUTIVE,4.0,,3.0
38.0,NO, research & development ,1088.0,FEMALE,HEALTHCARE REPRESENTATIVE,19.0,8823.0,3.0
41.0, yes ,RESEARCH & DEVELOPMENT,1210.0,MALE,RESEARCH SCIENTIST,1.0,2107.0,3.0
29.0,NO,RESEARCH & DEVELOPMENT,1249.0,FEMALE, research scientist ,3.0,3760.0,3.0
, no , research & development ,451.0,FEMALE,HEALTHCARE REPRESENTATIVE,1.0,9985.0,3.0
35.0, no , sales ,, female , sales representative ,2.0,2014.0,3.0
29.0, nan ,SALES,283.0,NAN, sales executive ,10.0,7639.0,4.0
, no ,SALES,600.0,MALE,SALES EXECUTIVE,11.0,,3.0
23.0,NO,RESEARCH & DEVELOPMENT,758.0, male ,LABORATORY TECHNICIAN,4.0,2500.0,3.0
47.0,NO,NAN,925.0,FEMALE, sales representative ,3.0,3294.0,3.0
30.0, no ,SALES,,MALE, sales representative ,3.0,2983.0,3.0
35.0, no ,HUMAN RESOURCES,2040.0, female ,HUMAN RESOURCES,9.0,8837.0,3.0
29.0, yes ,RESEARCH & DEVELOPMENT,2027.0, male , research scientist ,2.0,4787.0,3.0
26.0,NO, research & development ,1068.0,FEMALE, research scientist ,5.0,2007.0,3.0
28.0,NO, research & development ,, female ,RESEARCH SCIENTIST,8.0,3660.0,3.0
34.0,NO,SALES,1882.0, male , sales executive ,5.0,9713.0,3.0
41.0, no , sales ,1815.0,FEMALE, nan ,22.0,10447.0,3.0
48.0, nan ,RESEARCH & DEVELOPMENT,664.0,FEMALE, manager ,3.0,15402.0,3.0
28.0, no , research & development ,1622.0,FEMALE, manufacturing director ,5.0,4877.0,4.0
32.0,NO,RESEARCH & DEVELOPMENT,471.0, female ,LABORATORY TECHNICIAN,8.0,2370.0,3.0
38.0, no , research & development ,273.0,MALE, manufacturing director ,7.0,6261.0,3.0
34.0, no , research & development ,804.0,FEMALE,RESEARCH SCIENTIST,6.0,4381.0,3.0
56.0, no ,RESEARCH & DEVELOPMENT,1441.0,FEMALE,RESEARCH SCIENTIST,3.0,2066.0,4.0
47.0,YES,RESEARCH & DEVELOPMENT,376.0,MALE, manager ,,,3.0
38.0, no , sales ,307.0,MALE, sales executive ,16.0,10609.0,3.0
, no , research & development ,,FEMALE, laboratory technician ,4.0,2440.0,4.0
53.0, no , research & development ,250.0, female ,MANUFACTURING DIRECTOR,4.0,4450.0,3.0
20.0, yes , research & development ,, female , research scientist ,1.0,2600.0,
30.0,NO,SALES,508.0, male , sales representative ,,2476.0,3.0
, no ,RESEARCH & DEVELOPMENT,1900.0, nan ,MANAGER,22.0,17174.0,3.0
20.0,YES, research & development ,137.0,FEMALE, laboratory technician ,1.0,,
29.0,YES, research & development ,315.0, male , research scientist ,4.0,2389.0,3.0
34.0,NO,SALES,216.0,FEMALE,SALES REPRESENTATIVE,4.0,2231.0,3.0
49.0,NO,RESEARCH & DEVELOPMENT,1256.0, male , manager ,1.0,18711.0,
33.0,NAN,NAN,446.0, male , sales executive ,7.0,4682.0,3.0
28.0, yes ,RESEARCH & DEVELOPMENT,741.0, female , research scientist ,7.0,2216.0,3.0
,NO,SALES,, male , sales executive ,5.0,4221.0,3.0
31.0, no ,SALES,1749.0,MALE,SALES EXECUTIVE,5.0,8346.0,3.0
35.0, no ,NAN,1137.0,MALE, sales executive ,5.0,4968.0,3.0
54.0,NAN, research & development ,1969.0, female ,RESEARCH SCIENTIST,4.0,2897.0,3.0
,NO, sales ,1908.0, male ,SALES EXECUTIVE,4.0,5507.0,
47.0,YES, sales ,785.0,FEMALE, sales executive ,5.0,6397.0,3.0
47.0, no ,RESEARCH & DEVELOPMENT,447.0, male , research director ,3.0,18300.0,3.0
49.0, no ,RESEARCH & DEVELOPMENT,1473.0, male , healthcare representative ,3.0,6651.0,3.0
56.0,YES, research & development ,1907.0,MALE,LABORATORY TECHNICIAN,4.0,2587.0,3.0
34.0, no ,RESEARCH & DEVELOPMENT,, male ,RESEARCH SCIENTIST,,3815.0,3.0
60.0,NO, research & development ,1697.0,MALE, healthcare representative ,1.0,10883.0,4.0
38.0,NO, research & development ,1006.0,NAN,RESEARCH SCIENTIST,2.0,2684.0,3.0
41.0, no , research & development ,, female , manufacturing director ,20.0,13570.0,4.0
40.0, no , sales ,215.0,MALE, sales executive ,12.0,10855.0,
40.0,NO,RESEARCH & DEVELOPMENT,1892.0, male ,MANAGER,19.0,16823.0,3.0
22.0,NO, research & development ,22.0, male , laboratory technician ,1.0,2935.0,3.0
43.0,NO, sales ,1293.0, female ,SALES EXECUTIVE,21.0,10231.0,3.0
31.0, no , sales ,438.0, male , sales executive ,7.0,7547.0,3.0
45.0,NO,RESEARCH & DEVELOPMENT,,FEMALE, nan ,1.0,2274.0,3.0
28.0,NO, research & development ,1136.0,MALE, research scientist ,5.0,,3.0
20.0,YES,SALES,922.0, female , sales representative ,,2044.0,3.0
29.0, no , human resources ,1419.0, male ,HUMAN RESOURCES,10.0,7988.0,3.0
29.0, no , nan ,1497.0, male ,SALES EXECUTIVE,,8620.0,3.0
27.0, no ,RESEARCH & DEVELOPMENT,2064.0, male ,MANUFACTURING DIRECTOR,6.0,6142.0,4.0
31.0,NO, research & development ,1916.0, female , laboratory technician ,2.0,3978.0,3.0
30.0, no , research & development ,562.0,MALE,LABORATORY TECHNICIAN,5.0,2097.0,3.0
31.0, no ,SALES,1613.0,MALE,SALES EXECUTIVE,5.0,5332.0,
27.0, no , research & development ,764.0, female ,HEALTHCARE REPRESENTATIVE,7.0,6811.0,3.0
32.0,NAN, research & development ,1966.0,MALE,MANUFACTURING DIRECTOR,1.0,9679.0,4.0
44.0,NO,RESEARCH & DEVELOPMENT,36.0,FEMALE, nan ,22.0,10248.0,3.0
40.0,NAN, sales ,492.0, male ,SALES EXECUTIVE,6.0,6380.0,3.0
33.0,NO,SALES,1924.0,MALE,SALES EXECUTIVE,10.0,,3.0
59.0,NAN,SALES,,MALE,NAN,6.0,11904.0,3.0
42.0,NAN,RESEARCH & DEVELOPMENT,347.0, female , research scientist ,3.0,,
46.0, no , sales ,1124.0, male ,MANAGER,12.0,,3.0
52.0,NO,RESEARCH & DEVELOPMENT,1118.0, male ,HEALTHCARE REPRESENTATIVE,8.0,10445.0,3.0
37.0, no , sales ,311.0, male ,SALES REPRESENTATIVE,9.0,2793.0,3.0
44.0,YES, nan ,1098.0,MALE, human resources ,20.0,10482.0,
53.0, no , sales ,205.0, nan ,SALES REPRESENTATIVE,7.0,2306.0,4.0
19.0,NAN,SALES,235.0,NAN,SALES REPRESENTATIVE,0.0,2325.0,4.0
43.0, no ,NAN,1126.0,FEMALE, manufacturing director ,,10820.0,
44.0,NO, research & development ,744.0,MALE, laboratory technician ,5.0,3708.0,3.0
30.0, yes , nan ,, female ,RESEARCH SCIENTIST,5.0,2657.0,3.0
33.0,YES, research & development ,,MALE,MANAGER,7.0,13610.0,3.0
57.0, no ,NAN,482.0, male ,NAN,3.0,,3.0
33.0, no , research & development ,1970.0,MALE,HEALTHCARE REPRESENTATIVE,9.0,5968.0,4.0
22.0,NO, research & development ,284.0,MALE,RESEARCH SCIENTIST,4.0,2328.0,3.0
40.0,NO,RESEARCH & DEVELOPMENT,601.0,FEMALE, manufacturing director ,20.0,13237.0,3.0
31.0, yes , sales ,1379.0,FEMALE,SALES REPRESENTATIVE,1.0,2785.0,3.0
26.0,NO, sales ,618.0,MALE,SALES EXECUTIVE,0.0,4306.0,3.0
24.0, no ,NAN,128.0, female ,SALES EXECUTIVE,3.0,4999.0,4.0
46.0, no ,RESEARCH & DEVELOPMENT,1727.0, male ,HEALTHCARE REPRESENTATIVE,10.0,5562.0,3.0
36.0,NO,NAN,2025.0,FEMALE,MANUFACTURING DIRECTOR,4.0,5131.0,3.0
29.0, no ,RESEARCH & DEVELOPMENT,2053.0, male ,LABORATORY TECHNICIAN,4.0,4025.0,3.0
48.0,NO, research & development ,, male , laboratory technician ,1.0,2559.0,3.0
36.0, no , research & development ,, nan ,LABORATORY TECHNICIAN,11.0,2519.0,4.0
40.0, no ,RESEARCH & DEVELOPMENT,253.0, female , manager ,,19033.0,3.0
50.0, yes ,SALES,723.0, male ,SALES EXECUTIVE,4.0,6796.0,3.0
34.0, no ,SALES,1047.0,MALE,SALES EXECUTIVE,15.0,9725.0,3.0
52.0,NO,RESEARCH & DEVELOPMENT,, female , laboratory technician ,5.0,2950.0,3.0
33.0, no ,SALES,, female , sales representative ,2.0,2342.0,3.0
36.0,NO, sales ,1425.0,FEMALE, sales executive ,5.0,,3.0
41.0, no , research & development ,999.0,MALE, research director ,18.0,19419.0,
32.0, nan ,RESEARCH & DEVELOPMENT,951.0,FEMALE, laboratory technician ,3.0,2332.0,4.0
42.0, no , research & development ,659.0,FEMALE, healthcare representative ,10.0,4089.0,3.0
26.0, no ,RESEARCH & DEVELOPMENT,, nan , research scientist ,8.0,2875.0,
60.0, no ,NAN,,MALE,NAN,11.0,5220.0,3.0
31.0,NO,RESEARCH & DEVELOPMENT,581.0, nan ,MANUFACTURING DIRECTOR,,10648.0,4.0
49.0,NO,RESEARCH & DEVELOPMENT,1941.0,MALE, research director ,5.0,19161.0,3.0
32.0,NO,SALES,1304.0,NAN,SALES EXECUTIVE,10.0,6209.0,3.0
,NO,SALES,975.0, female ,SALES EXECUTIVE,,4601.0,3.0
19.0, yes , human resources ,566.0, male , human resources ,1.0,2564.0,3.0
35.0,NO, sales ,314.0, female , sales executive ,10.0,8789.0,
38.0,NO,HUMAN RESOURCES,,MALE, human resources ,6.0,2991.0,3.0
36.0, no , nan ,592.0,MALE, sales executive ,10.0,9980.0,3.0
,NAN,RESEARCH & DEVELOPMENT,2051.0,FEMALE, nan ,5.0,2001.0,3.0
29.0,NO, research & development ,824.0, nan , research scientist ,10.0,2700.0,4.0
,NAN, research & development ,1025.0,FEMALE,MANUFACTURING DIRECTOR,2.0,5003.0,3.0
55.0,NO, research & development ,1096.0,MALE,MANUFACTURING DIRECTOR,3.0,10976.0,3.0
29.0, no , research & development ,2054.0,FEMALE, research scientist ,5.0,3785.0,3.0
50.0,NO, sales ,,FEMALE,SALES EXECUTIVE,18.0,6347.0,3.0
23.0, yes ,SALES,,MALE,SALES REPRESENTATIVE,1.0,1790.0,3.0
35.0, nan ,HUMAN RESOURCES,1164.0,MALE,HUMAN RESOURCES,5.0,4323.0,3.0
38.0, no , research & development ,773.0,MALE, research scientist ,1.0,3057.0,3.0
47.0, no , sales ,467.0,NAN, sales representative ,0.0,2976.0,3.0
, yes ,SALES,1876.0, male ,NAN,1.0,1081.0,3.0
28.0,NO, sales ,,FEMALE, sales executive ,8.0,4779.0,4.0
46.0,NO,RESEARCH & DEVELOPMENT,1228.0, male ,MANUFACTURING DIRECTOR,6.0,7379.0,3.0
33.0, no ,RESEARCH & DEVELOPMENT,1994.0, male , laboratory technician ,1.0,2008.0,3.0
26.0,NO,SALES,72.0,FEMALE,SALES EXECUTIVE,2.0,,3.0
22.0, no , research & development ,217.0, male , research scientist ,2.0,,4.0
33.0,NO, nan ,39.0,MALE, laboratory technician ,1.0,2496.0,3.0
, no , research & development ,1296.0,MALE, laboratory technician ,2.0,3867.0,3.0
49.0,NO,RESEARCH & DEVELOPMENT,2.0,MALE, nan ,10.0,5130.0,4.0
33.0,NO,SALES,1670.0, male , sales executive ,6.0,,3.0
30.0,YES, sales ,299.0, female ,NAN,6.0,6696.0,3.0
38.0,NO,RESEARCH & DEVELOPMENT,271.0,MALE, manufacturing director ,1.0,6553.0,3.0
20.0, no ,SALES,1226.0,MALE, sales representative ,,2678.0,3.0
25.0,YES,NAN,1439.0, nan , sales representative ,3.0,4400.0,3.0
30.0, no , nan ,747.0,MALE, nan ,8.0,5304.0,4.0
27.0,NO, research & development ,54.0,FEMALE,LABORATORY TECHNICIAN,1.0,2341.0,3.0
27.0, no ,RESEARCH & DEVELOPMENT,224.0, male ,RESEARCH SCIENTIST,1.0,,
45.0, nan ,RESEARCH & DEVELOPMENT,341.0,MALE, manufacturing director ,3.0,6434.0,
48.0, no , research & development ,945.0, male , research scientist ,0.0,2259.0,3.0
28.0, no , research & development ,1799.0,MALE,RESEARCH SCIENTIST,5.0,2044.0,3.0
, no ,RESEARCH & DEVELOPMENT,865.0,FEMALE, research scientist ,,5175.0,3.0
34.0, yes , research & development ,147.0,MALE,LABORATORY TECHNICIAN,9.0,6074.0,4.0
, nan , sales ,, female , nan ,20.0,13525.0,3.0
28.0,YES, sales ,1486.0, male ,SALES REPRESENTATIVE,3.0,2909.0,3.0
24.0, no , research & development ,150.0, male , laboratory technician ,,2774.0,3.0
25.0, no ,SALES,1240.0, male ,SALES EXECUTIVE,4.0,4950.0,3.0
31.0, no ,RESEARCH & DEVELOPMENT,1252.0, female , healthcare representative ,10.0,6812.0,3.0
47.0, no ,RESEARCH & DEVELOPMENT,1827.0, female ,MANUFACTURING DIRECTOR,22.0,10333.0,3.0
41.0, yes , research & development ,927.0, female ,LABORATORY TECHNICIAN,7.0,,
29.0, no ,RESEARCH & DEVELOPMENT,1586.0,MALE, laboratory technician ,10.0,4723.0,3.0
27.0, no , sales ,56.0,MALE,SALES EXECUTIVE,9.0,8726.0,3.0
47.0, no ,SALES,1003.0,FEMALE, sales executive ,9.0,4163.0,3.0
, no ,RESEARCH & DEVELOPMENT,743.0,FEMALE,MANUFACTURING DIRECTOR,,7861.0,3.0
31.0, no ,RESEARCH & DEVELOPMENT,, female , manufacturing director ,11.0,,3.0
30.0,NO, sales ,1754.0, nan , sales executive ,7.0,7140.0,3.0
34.0,NAN, sales ,1541.0,MALE,SALES REPRESENTATIVE,11.0,2308.0,4.0
35.0,NO,RESEARCH & DEVELOPMENT,899.0,MALE, manufacturing director ,13.0,10903.0,3.0
47.0, no , research & development ,1438.0,MALE, research scientist ,6.0,3420.0,3.0
27.0,NAN,NAN,7.0,NAN,LABORATORY TECHNICIAN,2.0,3468.0,3.0
59.0,NAN,RESEARCH & DEVELOPMENT,10.0,FEMALE,LABORATORY TECHNICIAN,1.0,2670.0,4.0
31.0,YES,SALES,1427.0,FEMALE,SALES REPRESENTATIVE,1.0,1359.0,3.0
34.0,NO,RESEARCH & DEVELOPMENT,247.0,FEMALE, research scientist ,3.0,2311.0,
33.0,YES, research & development ,1108.0, male , research scientist ,2.0,2313.0,4.0
32.0,NO, nan ,1671.0, nan ,RESEARCH SCIENTIST,9.0,5470.0,
31.0,YES, nan ,, male ,NAN,1.0,8161.0,3.0
40.0,NO,SALES,1986.0, female ,SALES EXECUTIVE,11.0,5677.0,3.0
31.0, no ,RESEARCH & DEVELOPMENT,423.0, male , research scientist ,5.0,4821.0,3.0
37.0,NO,HUMAN RESOURCES,1794.0,MALE, human resources ,,4071.0,3.0
31.0, no ,RESEARCH & DEVELOPMENT,961.0,FEMALE, healthcare representative ,9.0,5855.0,3.0
51.0,YES,RESEARCH & DEVELOPMENT,179.0,MALE, manufacturing director ,,10650.0,3.0
35.0, nan ,SALES,,MALE, sales executive ,2.0,5440.0,3.0
,NO, sales ,789.0,MALE, sales executive ,10.0,7587.0,3.0
32.0, no , sales ,333.0, male , sales executive ,3.0,4465.0,3.0
33.0,NO, research & development ,1698.0,MALE,LABORATORY TECHNICIAN,,2028.0,3.0
52.0, no , research & development ,791.0,MALE, research scientist ,,4258.0,3.0
26.0, yes ,HUMAN RESOURCES,1818.0,FEMALE, human resources ,5.0,2148.0,3.0
39.0, no ,NAN,1390.0,MALE,SALES EXECUTIVE,5.0,6120.0,3.0
39.0,NAN,RESEARCH & DEVELOPMENT,1026.0,FEMALE,NAN,21.0,12742.0,
52.0, no ,RESEARCH & DEVELOPMENT,976.0, male , manager ,9.0,17099.0,3.0
28.0,NO,SALES,1927.0,MALE,SALES EXECUTIVE,7.0,6834.0,3.0
32.0,NAN, research & development ,231.0,MALE, research scientist ,5.0,3038.0,4.0
35.0, no ,RESEARCH & DEVELOPMENT,269.0,FEMALE, laboratory technician ,6.0,4425.0,3.0
,NO,RESEARCH & DEVELOPMENT,124.0,MALE, healthcare representative ,10.0,10673.0,3.0
,NO, research & development ,, male ,LABORATORY TECHNICIAN,8.0,5429.0,
29.0, no , sales ,1650.0,MALE,SALES EXECUTIVE,5.0,5869.0,3.0
34.0, no , research & development ,1932.0, male ,NAN,15.0,5747.0,
34.0,NO,SALES,,FEMALE,SALES EXECUTIVE,3.0,6500.0,3.0
37.0,NO,RESEARCH & DEVELOPMENT,460.0, male , manufacturing director ,6.0,6347.0,3.0
43.0, no ,SALES,754.0, male ,SALES EXECUTIVE,2.0,6804.0,3.0
49.0,NAN,RESEARCH & DEVELOPMENT,,MALE,MANAGER,8.0,15379.0,3.0
56.0, no ,RESEARCH & DEVELOPMENT,2026.0, male ,HEALTHCARE REPRESENTATIVE,13.0,,4.0
27.0,NO, sales ,800.0,MALE,SALES EXECUTIVE,4.0,,3.0
50.0,NO, research & development ,1005.0, nan , manufacturing director ,12.0,13973.0,3.0
33.0, no , research & development ,2009.0, female ,HEALTHCARE REPRESENTATIVE,9.0,,3.0
34.0,NO,RESEARCH & DEVELOPMENT,717.0, nan ,HEALTHCARE REPRESENTATIVE,,8621.0,3.0
, no , research & development ,1762.0,FEMALE, research scientist ,1.0,2109.0,3.0
36.0,NO, research & development ,699.0, male , manufacturing director ,3.0,8847.0,3.0
33.0,NO, research & development ,817.0,MALE, research director ,13.0,11691.0,3.0
30.0,NO, research & development ,1609.0,MALE,RESEARCH SCIENTIST,6.0,2141.0,3.0
29.0, no ,SALES,463.0,FEMALE,SALES EXECUTIVE,7.0,8268.0,3.0
21.0,YES,RESEARCH & DEVELOPMENT,1279.0,FEMALE,LABORATORY TECHNICIAN,2.0,2625.0,4.0
28.0, no ,NAN,1506.0,MALE, research scientist ,1.0,1563.0,
45.0,NO, research & development ,1002.0, male ,LABORATORY TECHNICIAN,9.0,3633.0,
35.0,NO, research & development ,577.0, male ,LABORATORY TECHNICIAN,5.0,4230.0,3.0
26.0,YES,SALES,796.0,MALE,SALES EXECUTIVE,4.0,,3.0
26.0, no , research & development ,164.0, nan ,RESEARCH SCIENTIST,5.0,2368.0,3.0
35.0, no ,RESEARCH & DEVELOPMENT,1601.0, male ,LABORATORY TECHNICIAN,,2690.0,3.0
,YES,RESEARCH & DEVELOPMENT,1433.0, female , research scientist ,1.0,1261.0,3.0
52.0, no ,SALES,2019.0,MALE, sales representative ,,3482.0,3.0
, yes , research & development ,454.0,MALE,LABORATORY TECHNICIAN,7.0,,3.0
54.0, no , sales ,303.0, female ,SALES EXECUTIVE,6.0,5940.0,
,NO,RESEARCH & DEVELOPMENT,304.0, male , laboratory technician ,13.0,5914.0,3.0
34.0, no ,SALES,1823.0, male ,NAN,10.0,,
29.0, no , sales ,388.0, male , sales executive ,10.0,4554.0,3.0
30.0,NO, nan ,1482.0,MALE, research scientist ,1.0,1274.0,3.0
36.0,NO, research & development ,,FEMALE,MANUFACTURING DIRECTOR,14.0,8858.0,3.0
40.0, no , research & development ,2048.0,MALE,RESEARCH SCIENTIST,2.0,2809.0,3.0
18.0, yes , sales ,1624.0,FEMALE, sales representative ,0.0,1569.0,3.0
32.0, no ,RESEARCH & DEVELOPMENT,21.0,MALE, research scientist ,6.0,,3.0
24.0,NO, sales ,507.0, female ,NAN,5.0,4260.0,3.0
36.0,NO, research & development ,,FEMALE,MANUFACTURING DIRECTOR,14.0,8858.0,3.0
36.0,NO,SALES,2036.0,MALE,SALES EXECUTIVE,15.0,5406.0,
34.0, no ,RESEARCH & DEVELOPMENT,1577.0,MALE,RESEARCH SCIENTIST,1.0,2972.0,3.0
53.0, nan , sales ,1968.0,NAN, sales executive ,2.0,10448.0,3.0
39.0, no ,SALES,182.0,FEMALE, sales executive ,15.0,5902.0,
33.0, no ,RESEARCH & DEVELOPMENT,612.0, female , research director ,6.0,16184.0,3.0
29.0,NAN,RESEARCH & DEVELOPMENT,816.0,FEMALE,LABORATORY TECHNICIAN,1.0,2319.0,3.0
19.0,YES, research & development ,, male , laboratory technician ,1.0,1102.0,4.0
,NO,RESEARCH & DEVELOPMENT,, nan ,HEALTHCARE REPRESENTATIVE,6.0,,3.0
35.0, no , sales ,1218.0,MALE, sales executive ,7.0,8966.0,3.0
41.0,NO, research & development ,1772.0, male , laboratory technician ,5.0,2289.0,4.0
31.0,NO,SALES,1673.0,FEMALE,SALES EXECUTIVE,10.0,5476.0,3.0
,NO,RESEARCH & DEVELOPMENT,1158.0, male , nan ,1.0,4766.0,3.0
36.0,NO, research & development ,501.0,FEMALE, research scientist ,2.0,2543.0,3.0
35.0,NO, research & development ,1886.0,FEMALE, manufacturing director ,3.0,4788.0,3.0
38.0,NO,NAN,79.0,FEMALE, laboratory technician ,10.0,2406.0,3.0
44.0, no ,HUMAN RESOURCES,1642.0,MALE, human resources ,10.0,5743.0,
53.0,NO, research & development ,1689.0,MALE,HEALTHCARE REPRESENTATIVE,4.0,7005.0,3.0
54.0, no ,RESEARCH & DEVELOPMENT,126.0, female ,RESEARCH DIRECTOR,,13549.0,3.0
41.0, no ,SALES,298.0,FEMALE, manager ,1.0,13591.0,3.0
55.0, yes ,SALES,, male , sales executive ,9.0,5160.0,3.0
36.0, no ,RESEARCH & DEVELOPMENT,1312.0,FEMALE,HEALTHCARE REPRESENTATIVE,,7094.0,3.0
38.0, no ,SALES,, female , sales executive ,5.0,5666.0,3.0
28.0, no ,RESEARCH & DEVELOPMENT,1286.0, male , laboratory technician ,4.0,2154.0,
23.0,YES,RESEARCH & DEVELOPMENT,,MALE,LABORATORY TECHNICIAN,0.0,1601.0,4.0
34.0,NO,SALES,523.0,FEMALE,SALES EXECUTIVE,3.0,6538.0,3.0
25.0,NO, nan ,1303.0,FEMALE, research scientist ,2.0,,3.0
21.0,YES, sales ,494.0,FEMALE, sales representative ,,,3.0
55.0,NO,RESEARCH & DEVELOPMENT,389.0, male , laboratory technician ,10.0,5415.0,3.0
41.0, no ,SALES,2037.0,MALE,SALES EXECUTIVE,5.0,8938.0,3.0
35.0, yes ,SALES,1639.0, male , sales executive ,13.0,10306.0,3.0
